acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-3925,-495,-745,-4107,129,-157,,2025-02-12 12:04:22.683986
-3477,-560,-670,-4250,455,-136,,2025-02-12 12:04:22.694283
-3568,-526,-794,-3998,769,-40,,2025-02-12 12:04:22.728560
-3755,-378,-881,-3521,968,-33,,2025-02-12 12:04:22.732141
-3917,-208,-889,-3007,911,3,,2025-02-12 12:04:22.744698
-4123,-71,-950,-1994,692,-18,,2025-02-12 12:04:22.764138
-4267,-25,-832,-2080,648,-109,,2025-02-12 12:04:22.783874
-4060,-185,-693,-1580,355,-385,,2025-02-12 12:04:22.798950
-3876,-227,-687,-1793,142,-74,,2025-02-12 12:04:22.813243
-3756,-291,-569,-1448,-542,-79,,2025-02-12 12:04:22.845603
-3654,-145,-596,-1476,-388,245,,2025-02-12 12:04:22.849576
-3838,-10,-577,-1377,-352,264,,2025-02-12 12:04:22.864489
-3994,147,-464,-1593,-561,95,,2025-02-12 12:04:22.881433
-3924,198,-542,-1782,-672,-176,,2025-02-12 12:04:22.911057
-3840,216,-513,-1832,-477,-142,,2025-02-12 12:04:22.911922
-3841,201,-464,-2026,-174,-86,,2025-02-12 12:04:22.931662
-3800,109,-509,-2131,120,34,,2025-02-12 12:04:22.944535
-3788,-5,-531,-2066,282,38,,2025-02-12 12:04:22.962487
-3910,-83,-599,-1832,251,-111,,2025-02-12 12:04:22.977483
-3608,-39,-632,-936,1021,279,,2025-02-12 12:04:22.993910
-4047,-141,-592,-1448,164,-71,,2025-02-12 12:04:23.023116
-3899,-33,-623,-1192,-488,40,,2025-02-12 12:04:23.030008
-3823,92,-571,-1048,-327,102,,2025-02-12 12:04:23.044721
-3807,142,-603,-965,-29,53,,2025-02-12 12:04:23.063444
-3760,144,-615,-814,261,-96,,2025-02-12 12:04:23.095406
-3781,73,-674,-683,592,-92,,2025-02-12 12:04:23.098949
-3885,-34,-778,-350,506,124,,2025-02-12 12:04:23.109863
-3974,-135,-742,116,172,301,,2025-02-12 12:04:23.141928
-3904,-136,-663,476,-165,396,,2025-02-12 12:04:23.143706
-3825,-108,-605,776,-242,353,,2025-02-12 12:04:23.178360
-3833,10,-526,886,-198,85,,2025-02-12 12:04:23.191559
-3568,6,-565,858,106,-12,,2025-02-12 12:04:23.193734
-3834,89,-658,950,667,94,,2025-02-12 12:04:23.214477
-3930,92,-711,993,556,63,,2025-02-12 12:04:23.248805
-3966,53,-721,1061,340,120,,2025-02-12 12:04:23.249342
-3909,83,-695,1096,202,139,,2025-02-12 12:04:23.257936
-3827,52,-714,1326,252,294,,2025-02-12 12:04:23.272591
-3829,21,-626,1490,406,280,,2025-02-12 12:04:23.292965
-3841,40,-626,1398,277,268,,2025-02-12 12:04:23.313025
-3869,55,-682,1254,228,225,,2025-02-12 12:04:23.321051
-3833,-1,-758,1485,76,265,,2025-02-12 12:04:23.340934
-3813,28,-704,1617,87,231,,2025-02-12 12:04:23.372320
-3812,41,-650,1609,92,240,,2025-02-12 12:04:23.377402
-3823,87,-610,1542,108,239,,2025-02-12 12:04:23.396918
-3891,75,-667,1443,-8,152,,2025-02-12 12:04:23.411791
-3903,146,-690,1349,-89,93,,2025-02-12 12:04:23.434703
-3874,149,-686,1279,-195,26,,2025-02-12 12:04:23.440501
-3845,154,-615,1175,-197,-4,,2025-02-12 12:04:23.459803
-3832,172,-566,956,-89,65,,2025-02-12 12:04:23.475971
-3859,147,-601,688,-150,75,,2025-02-12 12:04:23.493312
-3959,162,-659,440,-248,38,,2025-02-12 12:04:23.505885
-3761,157,-592,299,-294,86,,2025-02-12 12:04:23.525694
-3803,171,-518,66,-219,53,,2025-02-12 12:04:23.553808
-3775,228,-436,-380,-151,27,,2025-02-12 12:04:23.560565
-3841,284,-500,-742,-45,7,,2025-02-12 12:04:23.570848
-3885,268,-529,-1172,2,-65,,2025-02-12 12:04:23.593950
-3929,218,-635,-1421,-38,-265,,2025-02-12 12:04:23.614974
-3953,101,-662,-1609,-74,-347,,2025-02-12 12:04:23.640355
-3948,69,-665,-1951,-230,-317,,2025-02-12 12:04:23.643173
-3921,98,-641,-2144,-414,-119,,2025-02-12 12:04:23.678732
-3902,164,-554,-2406,-711,-14,,2025-02-12 12:04:23.708368
-3833,238,-542,-2772,-834,2,,2025-02-12 12:04:23.710935
-3788,264,-471,-3176,-603,-42,,2025-02-12 12:04:23.712065
-3782,309,-479,-3498,-387,-130,,2025-02-12 12:04:23.740557
-3816,354,-484,-4154,-372,-269,,2025-02-12 12:04:23.748139
-3812,214,-523,-4502,-423,-415,,2025-02-12 12:04:23.757781
-3835,105,-626,-4392,-67,-318,,2025-02-12 12:04:23.772978
-3948,212,-573,-4803,-229,-372,,2025-02-12 12:04:23.807222
-3940,137,-648,-5132,-688,-414,,2025-02-12 12:04:23.809420
-3845,21,-727,-5132,-885,-512,,2025-02-12 12:04:23.821774
-3766,-208,-743,-4621,-328,-292,,2025-02-12 12:04:23.840193
-3891,-178,-668,-4088,3,-213,,2025-02-12 12:04:23.863864
-3918,182,-402,-4342,-432,-251,,2025-02-12 12:04:23.869690
-3906,287,-460,-5084,-985,-324,,2025-02-12 12:04:23.889746
-3823,252,-549,-5106,-806,-372,,2025-02-12 12:04:23.905100
-3807,303,-424,-5233,-373,-389,,2025-02-12 12:04:23.920477
-3843,275,-396,-5668,-273,-459,,2025-02-12 12:04:23.938198
-3813,292,-385,-6109,-407,-463,,2025-02-12 12:04:23.954283
-3782,152,-445,-6542,-406,-260,,2025-02-12 12:04:23.980740
-3777,168,-411,-6618,-219,-202,,2025-02-12 12:04:23.988067
-3871,249,-375,-6865,-88,-174,,2025-02-12 12:04:24.004712
-4009,306,-393,-7131,106,-488,,2025-02-12 12:04:24.020714
-3990,302,-371,-7444,219,-654,,2025-02-12 12:04:24.040671
-3833,158,-462,-7690,-182,-523,,2025-02-12 12:04:24.052395
-3806,-100,-543,-7396,-694,-399,,2025-02-12 12:04:24.068024
-3916,-163,-510,-7096,-721,-500,,2025-02-12 12:04:24.111629
-3877,-144,-365,-7131,-466,-562,,2025-02-12 12:04:24.118642
-4003,-89,-368,-6986,-596,-404,,2025-02-12 12:04:24.122963
-4078,-28,-443,-6743,-1046,-426,,2025-02-12 12:04:24.147865
-3994,13,-494,-6439,-1308,-463,,2025-02-12 12:04:24.151830
-3853,-34,-386,-6218,-1157,-387,,2025-02-12 12:04:24.169240
-3878,-25,-314,-5961,-1076,-347,,2025-02-12 12:04:24.184841
-3933,-34,-299,-5872,-1062,-239,,2025-02-12 12:04:24.208754
-3900,-37,-238,-5823,-1035,-179,,2025-02-12 12:04:24.221929
-3798,-68,-352,-5755,-895,-57,,2025-02-12 12:04:24.233550
-3744,-129,-492,-5404,-527,-70,,2025-02-12 12:04:24.253351
-3734,-83,-505,-5143,-299,-54,standing,2025-02-12 12:04:24.282196
-3740,3,-391,-4948,-47,-114,standing,2025-02-12 12:04:24.284890
-3761,-99,-463,-4647,187,-128,standing,2025-02-12 12:04:24.332902
-3827,-56,-417,-4367,335,-227,standing,2025-02-12 12:04:24.347266
-3926,10,-463,-4399,412,-431,standing,2025-02-12 12:04:24.350074
-3963,-65,-481,-4543,178,-548,standing,2025-02-12 12:04:24.351796
-3944,-117,-503,-4541,-358,-478,standing,2025-02-12 12:04:24.370789
-3897,-171,-585,-4014,-836,-293,standing,2025-02-12 12:04:24.413587
-3842,-113,-469,-3561,-347,-324,standing,2025-02-12 12:04:24.416339
-3862,52,-361,-3566,152,-282,standing,2025-02-12 12:04:24.417580
-3899,96,-345,-3896,-257,-256,standing,2025-02-12 12:04:24.431938
-3868,36,-385,-4235,-919,-278,standing,2025-02-12 12:04:24.464445
-3758,-32,-442,-4056,-904,-297,standing,2025-02-12 12:04:24.467143
-3727,6,-420,-3764,-261,-250,standing,2025-02-12 12:04:24.481666
-3867,-30,-350,-3605,209,-84,standing,2025-02-12 12:04:24.496159
-3865,34,-348,-3733,23,100,standing,2025-02-12 12:04:24.516438
-3941,-67,-372,-3892,-241,136,standing,2025-02-12 12:04:24.532156
-3974,-157,-503,-3436,-463,73,standing,2025-02-12 12:04:24.547582
-4021,-537,-576,-2473,-463,51,standing,2025-02-12 12:04:24.581857
-3995,-462,-404,-1602,-1002,130,standing,2025-02-12 12:04:24.585851
-3933,-345,-318,-931,-1306,151,standing,2025-02-12 12:04:24.598606
-3855,-169,-248,-302,-1269,234,standing,2025-02-12 12:04:24.618005
-3900,175,-204,148,-724,116,standing,2025-02-12 12:04:24.649708
-3847,749,-5,-252,-162,-94,standing,2025-02-12 12:04:24.651596
-3739,151,272,-1276,1859,71,standing,2025-02-12 12:04:24.664662
-4013,-55,-42,-1262,1012,168,standing,2025-02-12 12:04:24.680998
-4025,-256,-401,-278,-338,400,standing,2025-02-12 12:04:24.714140
-3988,-160,-382,589,-666,459,standing,2025-02-12 12:04:24.727267
-4000,52,-346,626,-732,11,standing,2025-02-12 12:04:24.729981
-3876,182,-352,590,-1084,-308,standing,2025-02-12 12:04:24.745357
